parent_id,child_id,parent_user,edge_type,source,child_date_unix,parent_date_unix,time_inverted,_removed_reason
68890,68085,JohnJones,local,query,1714254060,1728164640.0,True,time_inverted
62395,62367,speck,local,query,1602250200,1602646140.0,True,time_inverted
52204,52154,Haskel,local,query,1447547880,1447659600.0,True,time_inverted
49777,49734,solos_to_use,local,query,1427607600,1428039600.0,True,time_inverted
49776,49734,solos_to_use,local,query,1427607600,1428038940.0,True,time_inverted
49775,49734,solos_to_use,local,query,1427607600,1428038100.0,True,time_inverted
49774,49734,solos_to_use,local,query,1427607600,1428037680.0,True,time_inverted
48272,48168,Haskel,local,query,1416123780,1416582840.0,True,time_inverted
47993,47975,snowflake,local,query,1414769880,1414922280.0,True,time_inverted
47984,47975,SackJo22,local,query,1414769880,1414834980.0,True,time_inverted
47353,47346,lazztunes07,local,query,1410186780,1410228240.0,True,time_inverted
47352,47346,hansatom,local,query,1410186780,1410221640.0,True,time_inverted
47347,47346,gurdonark,local,query,1410186780,1410189360.0,True,time_inverted
45096,45088,rocavaco,local,query,1391543520,1391612700.0,True,time_inverted
44966,44964,mindmapthat,local,query,1390567080,1390576320.0,True,time_inverted
42794,42811,SackJo22,local,query,1372336260,1372377000.0,True,time_inverted
42310,42303,CSoul,local,query,1367726760,1367746680.0,True,time_inverted
41334,41302,doxent,local,query,1361077740,1361162400.0,True,time_inverted
39177,39174,PattsiPeng,local,query,1347744600,1347745080.0,True,time_inverted
34475,34411,DJ_Sapient,local,query,1321748220,1321912020.0,True,time_inverted
33728,33699,Helen_Money,local,query,1317075000,1317212400.0,True,time_inverted
28031,28029,jlbrock44,local,query,1282164660,1282166100.0,True,time_inverted
27230,27219,Norms_World,local,query,1277020560,1277037480.0,True,time_inverted
25926,25925,Haskel,local,query,1269134520,1269135060.0,True,time_inverted
23831,23830,scomber,local,query,1258292280,1258295520.0,True,time_inverted
23844,23830,snowflake,local,query,1258292280,1258353480.0,True,time_inverted
24256,23228,La_Puerta,local,query,1255792260,1260297360.0,True,time_inverted
18286,18278,lisadb,local,query,1230062580,1230101160.0,True,time_inverted
14737,14671,bmccosar,local,query,1208345400,1208966700.0,True,time_inverted
14984,14662,illusivemind,local,query,1208303340,1210921800.0,True,time_inverted
14783,14662,bmccosar,local,query,1208303340,1209310500.0,True,time_inverted
14737,14662,bmccosar,local,query,1208303340,1208966700.0,True,time_inverted
