upload_id,user_name,split,obs_days,y_180,y_365,y_730,valid_180,valid_365,valid_730,f_author_prior_uploads,f_author_tenure_days,f_author_days_since_last,f_author_is_new,f_author_prior_remixes_received,f_author_prior_remixes_given,f_author_prior_remixed_track_count,f_author_prior_success_rate,f_n_sources,f_in_degree_local,f_is_derivative,f_num_files,f_title_len,f_title_words,f_n_usertags,f_has_usertags,f_sys_flac,f_post_year,f_post_month,f_post_dow,f_parent_max_prior_remixes,f_parent_mean_prior_remixes,f_tag_male_vocals,f_tag_guitar,f_tag_drums,f_tag_female_vocals,f_tag_electronic,f_tag_bass,f_tag_synthesizer,f_tag_instrumental,f_tag_experimental,f_tag_chill,f_tag_loops,f_tag_hip_hop,f_tag_piano,f_tag_downtempo,f_tag_spoken_word,f_tag_ambient,f_tag_rock,f_tag_electro,f_tag_funky,f_tag_acoustic,f_lic_Attribution,f_lic_Attribution (3.0),f_lic_Attribution Noncommercial,f_lic_Attribution Noncommercial  (3.0),f_lic_Attribution Noncommercial Share-Alike,f_lic_Attribution Noncommercial Share-Alike  (3.0),f_lic_Noncommercial Sampling Plus,f_lic_Sampling Plus,f_lic_other
11742,007talent,train,6877,True,True,True,True,True,True,0,0.0,-1.0,1,0,0,0,0.0,0,0,0,1,4,1,5,1,0,2007,9,4,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11744,007talent,train,6877,True,True,True,True,True,True,1,0.002777777777777778,0.002777777777777778,0,0,0,0,0.0,0,0,0,1,7,1,4,1,0,2007,9,4,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12175,007talent,train,6842,True,True,True,True,True,True,2,35.07361111111111,35.07083333333333,0,2,0,2,1.0,0,0,0,1,4,1,5,1,0,2007,10,4,0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
13010,007talent,train,6786,False,False,False,True,True,True,3,90.51597222222222,55.44236111111111,0,5,0,3,1.0,0,0,0,1,8,2,5,1,0,2007,12,4,0,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
480,00afro,train,7828,False,False,False,True,True,True,0,0.0,-1.0,1,0,0,0,0.0,1,1,1,1,32,5,11,1,0,2005,2,5,46,46.0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61441,0V3RTH1NK,train,2282,True,True,True,True,True,True,0,0.0,-1.0,1,0,0,0,0.0,0,0,0,1,9,2,4,1,0,2020,4,0,0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
53465,0_0,train,3764,False,False,False,True,True,True,0,0.0,-1.0,1,0,0,0,0.0,1,1,1,1,14,2,8,1,0,2016,3,2,8,8.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
24181,0blivi0us,train,6072,False,False,False,True,True,True,0,0.0,-1.0,1,0,0,0,0.0,1,1,1,1,9,1,9,1,0,2009,12,4,7,7.0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
31163,0blivi0us,train,5593,False,False,False,True,True,True,1,479.0215277777778,479.0215277777778,0,0,1,0,0.0,1,1,1,1,27,3,7,1,0,2011,3,0,2,2.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
36377,0blivi0us,train,5235,False,False,False,True,True,True,2,836.7576388888889,357.7361111111111,0,0,2,0,0.0,1,1,1,1,11,1,10,1,0,2012,3,1,34,34.0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
