upload_id,user_name,user_id,user_real_name,name,date_iso,date_unix,year,license,license_url,score,num_scores,num_playlists,thumbs_up,num_files,n_remixes,n_sources,usertags,systags,page_url,has_meta
41,wired,,WIRED Magazine CD,Wired Loop Example,2004-10-28T01:20:00+00:00,1098926400,,Noncommercial Sampling Plus,http://creativecommons.org/licenses/nc-sampling+/1.0/,400.0,3.0,,1,6,0,5,"bass,guitar,kawai,saxophone,vocals","nc_sampling_plus,audio,mp3,44k,stereo,VBR,archive,zip,archive,zip,archive,zip,archive,zip,archive,zip",https://ccmixter.org/files/wired/41,False
42,wired,,WIRED Magazine CD,Wired Loops 01 (sampling+),2004-10-28T01:20:00+00:00,1098926400,,Sampling Plus,http://creativecommons.org/licenses/sampling+/1.0/,,1.0,,1,1,1,0,"female_vocals,jazz,saxophone","sampling_plus,archive,zip",https://ccmixter.org/files/wired/42,False
43,wired,,WIRED Magazine CD,Wired Loops 02 (sampling+),2004-10-28T01:20:00+00:00,1098926400,,Sampling Plus,http://creativecommons.org/licenses/sampling+/1.0/,,,,1,1,2,0,saxophone,"sampling_plus,archive,zip",https://ccmixter.org/files/wired/43,False
44,wired,,WIRED Magazine CD,Wired Loops 03 (sampling+),2004-10-28T01:20:00+00:00,1098926400,,Sampling Plus,http://creativecommons.org/licenses/sampling+/1.0/,,,,1,1,3,0,"12_string,bandeon,bass,female_vocals,guitar,saxophone,vocals","sampling_plus,archive,zip",https://ccmixter.org/files/wired/44,False
45,wired,,WIRED Magazine CD,Wired Loops 04 (sampling+),2004-10-28T01:20:00+00:00,1098926400,,Sampling Plus,http://creativecommons.org/licenses/sampling+/1.0/,,,,1,1,1,0,"brass,brazil,calmantes,canastra,independent,metais,nervoso,rock,saxophone,trombone,trumpet","sampling_plus,archive,zip",https://ccmixter.org/files/wired/45,False
46,wired,,WIRED Magazine CD,Wired Loops 05 (sampling+),2004-10-28T01:20:00+00:00,1098926400,,Sampling Plus,http://creativecommons.org/licenses/sampling+/1.0/,,,,1,1,1,0,"chill,downtempo,experimental,music_for_film,saxophone,spoken_word","sampling_plus,archive,zip",https://ccmixter.org/files/wired/46,False
47,wired,,WIRED Magazine CD,Wired Loops 06 (sampling+),2004-10-28T01:20:00+00:00,1098926400,,Sampling Plus,http://creativecommons.org/licenses/sampling+/1.0/,,,,1,1,3,0,"saxophone,woodwinds","sampling_plus,archive,zip",https://ccmixter.org/files/wired/47,False
48,wired,,WIRED Magazine CD,Wired Loops 01 (nc-sampling+),2004-10-28T01:20:00+00:00,1098926400,,Noncommercial Sampling Plus,http://creativecommons.org/licenses/nc-sampling+/1.0/,,,,1,1,1,0,"bass,female_vocals,fender,fretless,guitar,kawai,saxophone,vocals","nc_sampling_plus,archive,zip",https://ccmixter.org/files/wired/48,False
49,wired,,WIRED Magazine CD,Wired Loops 02 (nc-sampling+),2004-10-28T01:20:00+00:00,1098926400,,Noncommercial Sampling Plus,http://creativecommons.org/licenses/nc-sampling+/1.0/,,,,1,1,2,0,saxophone,"nc_sampling_plus,archive,zip",https://ccmixter.org/files/wired/49,False
65,lisadb,,DeBenedictis,Brilliant Day (Vocals),2004-11-06T04:10:00+00:00,1099714200,,Attribution Noncommercial,http://creativecommons.org/licenses/by-nc/2.5/,447.0,46.0,,1,1,43,0,"bass,downtempo,electronic,ethno,europe,female_vocals,folk,saxophone,yiddish","non_commercial,audio,mp3,44k,mono,128kbps",https://ccmixter.org/files/lisadb/65,False
